source,LB,TSTR_l,TSTR_r,TSTR_FT_l,TSTR_FT_r,UB
Ball,0.32,0.35,0.32,0.33,0.2,1.0
IR,0.47,0.41,0.33,0.39,0.34,1.0
OR_centred,0.4,0.43,0.53,0.25,0.16,1.0
OR_opposite,0.41,0.47,0.51,0.37,0.36,1.0
OR_orthogonal,0.44,0.4,0.39,0.38,0.32,1.0
Average,0.41,0.41,0.42,0.34,0.28,1.0
