source,domain,mode,accuracy,loss
WAL,10,lat,0.9624183006535948,0.17736872480947033
WAL,10,ref,0.9836601307189542,0.0670600730391482
WAL,10,joint,0.9836601307189542,0.08083104155404423
WAL,11,lat,0.9827882960413081,0.09151643310747815
WAL,11,ref,0.9793459552495697,0.060171681527296794
WAL,11,joint,0.9862306368330465,0.06018424731124868
WAL,12,lat,0.9376083188908145,0.2773704162611613
WAL,12,ref,0.9705372616984402,0.13071729383067782
WAL,12,joint,0.9584055459272097,0.19618581514589242
WAL,13,lat,0.9592476489028213,0.14282626695627415
WAL,13,ref,0.9843260188087775,0.043552908491619746
WAL,13,joint,0.9811912225705329,0.06381595016430311
WAL,14,lat,0.7555938037865749,1.6140327241915895
WAL,14,ref,0.9449225473321858,0.21704089692029643
WAL,14,joint,0.9449225473321858,0.24076541850019484
RUN,10,lat,0.861198738170347,0.778416669983045
RUN,10,ref,0.88801261829653,0.3748553348181304
RUN,10,joint,0.9022082018927445,0.3531890570426185
RUN,11,lat,0.910472972972973,0.6629362923407935
RUN,11,ref,0.9121621621621622,0.3753116575520147
RUN,11,joint,0.9155405405405406,0.41776616680068107
RUN,12,lat,0.8439597315436241,1.028317948496758
RUN,12,ref,0.8859060402684564,0.5721519052018075
RUN,12,joint,0.8741610738255033,0.6038562605319481
RUN,13,lat,0.9854651162790697,0.0537158004546334
RUN,13,ref,0.936046511627907,0.18181067789290947
RUN,13,joint,0.9563953488372093,0.16409891029285395
RUN,14,lat,0.7942122186495176,0.9936867903571767
RUN,14,ref,0.6479099678456591,2.347148967262817
RUN,14,joint,0.6495176848874598,2.548431018146146
CLD,10,lat,0.9529411764705882,0.23510695297344217
CLD,10,ref,0.9338235294117647,0.16018190492890383
CLD,10,joint,0.9529411764705882,0.12856502488926141
CLD,11,lat,0.9578783151326054,0.33993597268757597
CLD,11,ref,0.9563182527301092,0.20909779894542754
CLD,11,joint,0.953198127925117,0.23325511609481092
CLD,12,lat,0.9171686746987951,0.48279230811313234
CLD,12,ref,0.9292168674698795,0.3128571231872054
CLD,12,joint,0.9292168674698795,0.323512396889739
CLD,13,lat,0.8973384030418251,0.27859270525082
CLD,13,ref,0.9220532319391636,0.1830219638244616
CLD,13,joint,0.935361216730038,0.16058973566396162
CLD,14,lat,0.8866459627329193,0.5099038441244971
CLD,14,ref,0.9270186335403726,0.30710925820642004
CLD,14,joint,0.9332298136645962,0.29150686329763037
CLU,10,lat,0.8050314465408805,1.1345232330139279
CLU,10,ref,0.910377358490566,0.36253391116169953
CLU,10,joint,0.8962264150943396,0.4632928783506486
CLU,11,lat,0.8998384491114702,0.42183249140707385
CLU,11,ref,0.9563812600969306,0.31044590791466053
CLU,11,joint,0.9499192245557351,0.407442306932292
CLU,12,lat,0.8651315789473685,0.7234975600440521
CLU,12,ref,0.899671052631579,0.4425143729738343
CLU,12,joint,0.899671052631579,0.5569642313509394
CLU,13,lat,0.982,0.04835923046210633
CLU,13,ref,0.994,0.025582371894173075
CLU,13,joint,0.986,0.04457305210754474
CLU,14,lat,0.8070739549839229,0.9775965589558323
CLU,14,ref,0.8665594855305466,0.37779698034143816
CLU,14,joint,0.8778135048231511,0.48342895610793646
