source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
CLD,13,0.9942965779467681,0.029970520756398188,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8990683229813664,0.7673396146246833,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8616352201257862,0.6851705378458973,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9483037156704361,0.44413808781051217,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.9144736842105263,0.4037655724654105,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.974,0.10620196564741491,32,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9372990353697749,0.4448316495894716,32,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9640522875816994,0.28252594957994565,32,0.0005,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9707401032702238,0.22954096684627395,32,0.0005,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9584055459272097,0.21083051611010306,32,0.0005,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9435736677115988,0.8241535306915466,32,0.0005,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9259896729776248,0.42999888462336916,32,0.0005,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8580441640378549,0.8511244234044171,32,0.0005,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.7331081081081081,2.2943400899447757,32,0.0005,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8221476510067114,1.360610896543042,32,0.0005,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9593023255813954,0.23005042719027682,32,0.0005,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.8360128617363344,1.3736335773470159,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9382352941176471,0.35037589823936216,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.8673946957878315,0.8845622642992952,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9337349397590361,0.4354974822813563,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9942965779467681,0.028951987738015734,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8742236024844721,1.3178980396066404,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8962264150943396,0.5719932426052223,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.962843295638126,0.3804927140829161,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.9078947368421053,0.8059649704489991,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.97,0.13070889903305982,32,0.0005,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9437299035369775,0.4579779254294266,32,0.0005,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.946078431372549,0.34459568560340015,32,0.001,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.955249569707401,0.3668720393378336,32,0.001,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9601386481802426,0.2573059898438116,32,0.001,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9686520376175548,0.25592575547598956,32,0.001,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9311531841652324,0.4696536154524939,32,0.001,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8832807570977917,0.6987961376085877,32,0.001,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.7753378378378378,1.9620956170497887,32,0.001,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8171140939597316,1.4950610498793762,32,0.001,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9622093023255814,0.205624694711185,32,0.001,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7427652733118971,2.7903045064291057,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9514705882352941,0.31519559112651363,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.8783151326053042,0.8555900728913166,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9412650602409639,0.41939021566733053,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9942965779467681,0.017007090739214595,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8788819875776398,1.384327131543714,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8930817610062893,0.7055163951724543,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9321486268174475,0.7666545274624985,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.9342105263157895,0.6992057596052138,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.996,0.013607863248061847,32,0.001,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9405144694533762,0.5792470547267925,32,0.001,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9509803921568627,0.474564961138617,32,0.005,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9535283993115319,0.5110548774510358,32,0.005,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9584055459272097,0.43784936054851487,32,0.005,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9655172413793104,0.5169173758464467,32,0.005,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9363166953528399,0.6808890458196402,32,0.005,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8753943217665615,1.1671694161104547,32,0.005,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8293918918918919,2.807230623855405,32,0.005,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8624161073825504,1.939658130445758,32,0.005,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9534883720930233,0.4345378018832429,32,0.005,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7459807073954984,3.273395968190806,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9558823529411765,0.4929591323275288,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.859594383775351,1.5045922729893348,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9397590361445783,0.5417602959639571,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9885931558935361,0.08186699966982172,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8881987577639752,1.7571730562042138,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8773584905660378,1.1268236455987932,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9418416801292407,1.068606531376463,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.8832236842105263,0.9961379404718939,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.964,0.45847102275650115,32,0.005,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9421221864951769,0.5828744576024512,32,0.005,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.934640522875817,0.7184709110180847,32,0.01,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9345955249569707,1.098724742215142,32,0.01,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9584055459272097,0.3448136336736465,32,0.01,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9498432601880877,0.5755839058158955,32,0.01,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.927710843373494,0.7474715920419908,32,0.01,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.889589905362776,0.8914687300635024,32,0.01,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.7567567567567568,4.3513265891041115,32,0.01,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8640939597315436,2.3245638765061263,32,0.01,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9534883720930233,0.4273577069094459,32,0.01,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7443729903536977,3.619073633088339,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9470588235294117,0.544027406415394,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.875195007800312,1.3724076831756764,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9442771084337349,0.5808401150817146,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9809885931558935,0.1516780873648443,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.843167701863354,2.3586210554369464,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8836477987421384,1.0582398546685,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9127625201938611,1.204594225031719,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.8963815789473685,1.9492223838439688,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.978,0.08136730431578254,32,0.01,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9517684887459807,0.4047743636036959,32,0.01,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.6421568627450981,0.49375068545341494,32,0.05,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.8898450946643718,1.5905136293203643,32,0.05,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.92894280762565,1.2943361958351058,32,0.05,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9341692789968652,7.408261876180762,32,0.05,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.6712564543889845,0.4910554650582765,32,0.05,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8675078864353313,1.6781141647439655,32,0.05,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8006756756756757,4.65469504765382,32,0.05,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8238255033557047,2.763137226026964,32,0.05,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9680232558139535,0.3141058652472564,32,0.05,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7395498392282959,12.140521274546018,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9411764705882353,0.8823984325225112,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.8081123244929798,1.5061903282457176,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9352409638554217,0.752769349295531,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9942965779467681,0.029289727634536966,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8664596273291926,3.4213551733448693,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8820754716981132,0.4665347203379497,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9450726978998385,1.3474969340007874,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.899671052631579,2.0073363979366294,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.506,0.7803584428038104,32,0.05,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9469453376205788,0.7803536914851257,32,0.05,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.6421568627450981,0.4667839422821999,32,0.1,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9500860585197934,0.3866177143431024,32,0.1,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9480069324090121,0.9055802219732677,32,0.1,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9090909090909091,2.0177501052618028,32,0.1,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.6867469879518072,0.49154922052433614,32,0.1,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8107255520504731,1.543048138730228,32,0.1,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.3885135135135135,1.0983058778863204,32,0.1,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8322147651006712,1.3445714553818107,32,0.1,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.7354651162790697,1.1437938430092551,32,0.1,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7588424437299035,5.3160977519139125,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.6441176470588236,0.4787479476495223,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.8767550702028081,1.9355665547170378,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.641566265060241,0.4788911328429267,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.5361216730038023,0.44173622306655436,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.9099378881987578,0.3313297064354022,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.7374213836477987,0.45375976115465166,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9596122778675282,0.5393714354551093,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.9095394736842105,1.118928156670575,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.482,0.9572258368134499,32,0.1,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.927652733118971,0.2870179643621668,32,0.1,"[16, 32, 64, 128]",[100],0.25
