source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
CLU,11,0.9563812600969306,0.3754918788624167,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,12,0.9144736842105263,0.5244349201493067,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,13,0.994,0.021944657072282325,32,5e-05,"[64, 128, 256]",[100],0.25
CLU,14,0.9405144694533762,0.33033567743850656,32,5e-05,"[64, 128, 256]",[100],0.25
WAL,10,0.9444444444444444,0.1955554542830214,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9655765920826161,0.1759480281386794,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9532062391681109,0.15457323177971424,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9592476489028213,0.0846157621119346,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9432013769363167,0.22793354299210478,32,5e-05,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8848580441640379,0.43967128375079484,32,5e-05,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.8158783783783784,0.8008490696003335,32,5e-05,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8271812080536913,0.8499950543811888,32,5e-05,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9505813953488372,0.1831181358059191,32,5e-05,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.8022508038585209,1.2487965621359762,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9514705882352941,0.22585065989220643,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.8408736349453978,0.7266805205907596,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9216867469879518,0.34292016859485774,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9923954372623575,0.0485635204365334,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.9177018633540373,0.4321517855393419,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8883647798742138,0.42569862788514,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9547657512116317,0.36135579345278757,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.9226973684210527,0.38947834947545124,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.988,0.03758826021498862,32,5e-05,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9244372990353698,0.3170137129317482,32,5e-05,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9591503267973857,0.1839062010869384,32,5e-05,"[32, 64, 128, 256]",[100],0.25
WAL,11,0.963855421686747,0.17617976607849223,32,5e-05,"[32, 64, 128, 256]",[100],0.25
WAL,12,0.9462738301559792,0.2379209731902847,32,5e-05,"[32, 64, 128, 256]",[100],0.25
WAL,13,0.9561128526645768,0.11982243578931957,32,5e-05,"[32, 64, 128, 256]",[100],0.25
WAL,14,0.9363166953528399,0.28092310459971104,32,5e-05,"[32, 64, 128, 256]",[100],0.25
RUN,10,0.8690851735015773,0.5360663008876145,32,5e-05,"[32, 64, 128, 256]",[100],0.25
RUN,11,0.8125,1.0466597382082192,32,5e-05,"[32, 64, 128, 256]",[100],0.25
RUN,12,0.8036912751677853,0.9329532622849863,32,5e-05,"[32, 64, 128, 256]",[100],0.25
RUN,13,0.9534883720930233,0.22345505535089283,32,5e-05,"[32, 64, 128, 256]",[100],0.25
RUN,14,0.6929260450160771,1.633248942325008,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLD,10,0.9191176470588235,0.4159360016397345,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLD,11,0.8455538221528861,0.8498560475990893,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLD,12,0.9292168674698795,0.3287070658490761,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLD,13,0.9885931558935361,0.041127505811292556,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLD,14,0.9161490683229814,0.5253503233318823,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLU,10,0.8789308176100629,0.4643917802510259,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLU,11,0.9547657512116317,0.3711143200484287,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLU,12,0.9325657894736842,0.37699816912704354,32,5e-05,"[32, 64, 128, 256]",[100],0.25
