source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
CLD,13,0.9904942965779467,0.055722038541918865,64,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8959627329192547,0.6976345458899686,64,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.8647798742138365,0.6148015123064396,64,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9531502423263328,0.39040108101798976,64,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.9161184210526315,0.43055686410020827,64,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.974,0.100658138336712,64,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9372990353697749,0.3934532474691423,64,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9395424836601307,0.3320154335349798,128,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.963855421686747,0.24891549105523153,128,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.949740034662045,0.19354561633372214,128,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9498432601880877,0.1382890467417989,128,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9104991394148021,0.6666008646599948,128,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8548895899053628,0.5734713584184646,128,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.7364864864864865,1.375423400849104,128,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.8288590604026845,0.8878690730780363,128,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9651162790697675,0.13559953837345043,128,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7877813504823151,1.2172435343265533,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.9264705882352942,0.2705377535748994,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.906396255850234,0.36390703040888184,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9337349397590361,0.28024162149085896,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9923954372623575,0.052711902780720264,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8726708074534162,0.5231393687045056,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.9512578616352201,0.18841126710176467,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.962843295638126,0.21025745222577824,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.930921052631579,0.40584891002654333,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.972,0.09191347431442409,128,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9421221864951769,0.27587270714866463,128,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,10,0.9607843137254902,0.16461596886316934,256,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,11,0.9621342512908778,0.28228959809833515,256,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,12,0.9376083188908145,0.23235373944044113,256,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,13,0.9623824451410659,0.05863596126437187,256,0.0001,"[16, 32, 64, 128]",[100],0.25
WAL,14,0.9311531841652324,0.5415905863046646,256,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,10,0.8343848580441641,0.5456339716911316,256,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,11,0.731418918918919,1.3411459277073543,256,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,12,0.837248322147651,0.6747669478257498,256,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,13,0.9505813953488372,0.2491782084107399,256,0.0001,"[16, 32, 64, 128]",[100],0.25
RUN,14,0.7765273311897106,1.255716897547245,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,10,0.95,0.20253253728151321,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,11,0.9141965678627145,0.4446466776231925,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,12,0.9246987951807228,0.3273341755072276,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,13,0.9619771863117871,0.3739544128378232,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLD,14,0.8944099378881988,0.5903838686645031,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,10,0.9056603773584906,0.2796715932587783,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,11,0.9515347334410339,0.276049558694164,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,12,0.930921052631579,0.5054414036373297,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,13,0.974,0.1286795735359192,256,0.0001,"[16, 32, 64, 128]",[100],0.25
CLU,14,0.9405144694533762,0.20711015661557516,256,0.0001,"[16, 32, 64, 128]",[100],0.25
