mode,source,domain,accuracy,loss
lat,IR,4,0.9830508474576272,0.03444537821421155
ref,IR,4,0.9761652542372882,0.07496348279222123
lat,IR,5,0.9883165161975571,0.026352194460408405
ref,IR,5,0.9771640998406798,0.06654029676120103
lat,IR,6,0.9744544970729111,0.06239572710149635
ref,IR,6,0.9563597658328898,0.11801247597953382
lat,IR,7,0.9665959703075292,0.08995218580154567
ref,IR,7,0.9517497348886532,0.1546233180261576
lat,Ball,4,1.0,7.874341381750583e-05
ref,Ball,4,1.0,6.731174527582576e-05
lat,Ball,5,1.0,0.00013386198972256124
ref,Ball,5,1.0,0.00020259500713658933
lat,Ball,6,1.0,0.0027122549603515824
ref,Ball,6,0.9973432518597237,0.007333878875926914
lat,Ball,7,0.9989429175475687,0.003738533178692949
ref,Ball,7,0.9941860465116279,0.01853255739248804
lat,OR_centred,4,1.0,0.0003898678734306789
ref,OR_centred,4,0.9994694960212201,0.0013706090784883903
lat,OR_centred,5,0.9994683678894205,0.003850948157196399
ref,OR_centred,5,0.9984051036682615,0.00646105201485625
lat,OR_centred,6,0.9665249734325186,0.10690975078420403
ref,OR_centred,6,0.9404888416578109,0.18674691105867774
lat,OR_centred,7,0.975635593220339,0.07029574589869299
ref,OR_centred,7,0.9613347457627118,0.10099492669465539
lat,OR_orthogonal,4,0.9957537154989384,0.014857966576649536
ref,OR_orthogonal,4,0.9840764331210191,0.04529675391274092
lat,OR_orthogonal,5,0.9384288747346072,0.16581277972800307
ref,OR_orthogonal,5,0.917728237791932,0.23501119588019417
lat,OR_orthogonal,6,0.9272051009564294,0.255015141157916
ref,OR_orthogonal,6,0.9187035069075452,0.3213621811143715
lat,OR_orthogonal,7,0.96929592376919,0.0849486256785743
ref,OR_orthogonal,7,0.9655902593965061,0.09758156649715488
lat,OR_opposite,4,1.0,7.83137366321777e-06
ref,OR_opposite,4,1.0,6.034833540979889e-05
lat,OR_opposite,5,1.0,4.8438275609896667e-05
ref,OR_opposite,5,1.0,0.00011211952590504856
lat,OR_opposite,6,1.0,0.0003644057145910059
ref,OR_opposite,6,1.0,0.001482736869972238
lat,OR_opposite,7,0.9973530968766543,0.01155200646843279
ref,OR_opposite,7,0.9888830068819481,0.031054081911554475
