mode,source,domain,accuracy,loss
lat,WAL,10,0.9614767255216693,0.1865205240668729
ref,WAL,10,0.9582664526484751,0.1889267014223151
lat,WAL,11,0.96415770609319,0.08551205582140635
ref,WAL,11,0.96415770609319,0.15431554367144903
lat,WAL,12,0.5819672131147541,1.3069260604679585
ref,WAL,12,0.6180327868852459,0.7572781563736498
lat,WAL,13,0.9221789883268483,0.19544472265988588
ref,WAL,13,0.8638132295719845,0.5451930791139603
lat,WAL,14,0.9726962457337884,0.06738679448899347
ref,WAL,14,0.9914675767918089,0.022821945580653848
lat,RUN,10,0.837245696400626,0.5680581791326403
ref,RUN,10,0.8794992175273866,0.4132740914821625
lat,RUN,11,0.9148936170212766,0.31232603473795784
ref,RUN,11,0.874113475177305,0.35920900768703884
lat,RUN,12,0.14021571648690292,3.773999495939775
ref,RUN,12,0.4391371340523883,1.3233490965583108
lat,RUN,13,0.9885386819484241,0.04447807480270664
ref,RUN,13,0.9914040114613181,0.07859492115676403
lat,RUN,14,0.921996879875195,0.18346896907314658
ref,RUN,14,0.8845553822152886,0.3140276860107075
lat,CLD,10,0.9379615952732644,0.2477635805579749
ref,CLD,10,0.946824224519941,0.18963695060334762
lat,CLD,11,0.9588138385502472,0.1971448053518543
ref,CLD,11,0.929159802306425,0.19905562677886338
lat,CLD,12,0.6636500754147813,0.696824363051829
ref,CLD,12,0.7254901960784313,0.5616754367100921
lat,CLD,13,0.9761336515513126,0.21676307703767503
ref,CLD,13,0.9689737470167065,0.21367034954684122
lat,CLD,14,0.9683257918552036,0.09264974629993296
ref,CLD,14,0.9743589743589743,0.08671030196340078
lat,CLU,10,0.9233226837060703,0.2819502418569755
ref,CLU,10,0.9057507987220448,0.21923083081201183
lat,CLU,11,0.9476268412438625,0.1941537231206894
ref,CLU,11,0.9443535188216039,0.1697144907375332
lat,CLU,12,0.7129770992366412,0.805039916145192
ref,CLU,12,0.48854961832061067,1.3650585289578885
lat,CLU,13,0.8253588516746412,0.4572471337659018
ref,CLU,13,0.9665071770334929,0.26996761773313793
lat,CLU,14,0.9650793650793651,0.09718189121922478
ref,CLU,14,0.919047619047619,0.22941774351056665
