source,domain,accuracy,loss
WAL,10,0.9787581699346405,0.08466565723028907
WAL,11,0.9827882960413081,0.052211563288256005
WAL,12,0.9601386481802426,0.14131760263953766
WAL,13,0.9968652037617555,0.01815112829208374
WAL,14,0.9776247848537005,0.08825428232630657
RUN,10,0.8706624605678234,0.48847462683916093
RUN,11,0.9155405405405406,0.31610598843544724
RUN,12,0.8674496644295302,0.6503393702208996
RUN,13,0.9883720930232558,0.10109811803946893
RUN,14,0.8938906752411575,0.36627221405506133
CLD,10,0.9397058823529412,0.24298653024222652
CLD,11,0.9235569422776911,0.25166325425160285
CLD,12,0.9186746987951807,0.3444933735077443
CLD,13,0.9923954372623575,0.021251204664521437
CLD,14,0.9394409937888198,0.20105752932998008
CLU,10,0.9308176100628931,0.2788704466848685
CLU,11,0.9466882067851373,0.16333727597930192
CLU,12,0.9375,0.3315605626179604
CLU,13,0.992,0.020440547144971788
CLU,14,0.9726688102893891,0.1900308374888482
