source,LB,LB_FT,TSTR_l,TSTR_r,TSTR_FT_l,TSTR_FT_r,TSTR_FT2_l,TSTR_FT2_r,TSTR_FT3_l,TSTR_FT3_r
Ball,0.25,0.31,0.33,0.48,0.25,0.4,0.9,0.55,1.0,1.0
IR,0.25,0.53,0.62,0.64,0.63,0.6,0.85,0.89,0.98,0.97
OR_centred,0.25,0.17,0.72,0.7,0.47,0.49,0.44,0.39,0.99,0.97
OR_opposite,0.25,0.44,0.53,0.63,0.4,0.4,0.89,0.5,1.0,1.0
OR_orthogonal,0.31,0.5,0.47,0.49,0.46,0.56,0.77,0.66,0.96,0.95
Average,0.26,0.39,0.53,0.59,0.44,0.49,0.77,0.6,0.98,0.98
